小七专用,https://upos-bvc-mirrorpu.bilivideo.com//upgcxcode/27/41/41052604127/41052604127-1-16.mp4?m=v1&net_type=0&tf_type=0&cid=41052604127&signed_payloads=deadline,mid,nbs,platform,trid,uipk&deadline=1787120324&mid=0&nbs=1&platform=html5&trid=a58a9f1e0c5a43e0afb8c51593945a0h&uipk=5&uip=218.12.17.23&force_host=2&app_key=vod_auth&rate_Bps=1000000&unsigned_payloads=agrr,build,buvid,dl,f&agrr=0&build=0&buvid=&dl=0&f=h_0_0&sign=a334d242d9052fd323174988a2d95e9b&backup_num=0&bandwidth_rate_Bps=566142&cdn_type=1
体育直播,#genre#
 神雕侠侣,https://live.ottiptv.cc/yy/1351762426
 狄仁杰,https://live.ottiptv.cc/yy/1351755386
 【经典抗战剧】,https://live.ottiptv.cc/yy/1354806550
 打狗棍  4K超清,https://live.ottiptv.cc/yy/39736069
 正阳门下,https://live.ottiptv.cc/yy/1354931580
 【经典港片】佟瑶,https://live.ottiptv.cc/yy/23531261
 新白娘子传奇,https://live.ottiptv.cc/yy/1354490667
 梦梦古装武侠剧,https://live.ottiptv.cc/yy/1382881708
 丸子,https://live.ottiptv.cc/yy/1382851588
 动漫,https://live.ottiptv.cc/yy/1382747970
 宰相刘罗锅,https://live.ottiptv.cc/yy/1382745191
 鉴证实录,https://live.ottiptv.cc/yy/1356341389
 超精彩武打场景,https://live.ottiptv.cc/yy/1354936131
 进来 陪你看动漫,https://live.ottiptv.cc/yy/1352866135
 古惑仔,https://live.ottiptv.cc/yy/1458015189
 开炮！开炮！开炮！,https://live.ottiptv.cc/yy/1507704566
 武林外传,https://live.ottiptv.cc/yy/1454629602
 地下交通站,https://live.ottiptv.cc/yy/1382736795
 【新三国】蓝光版,https://live.ottiptv.cc/yy/1382705738
 纪晓岚,https://live.ottiptv.cc/yy/1382781415
 【战狼3吴京】首播,https://live.ottiptv.cc/yy/1456668939
 恐怖电影,https://live.ottiptv.cc/yy/24066336
 赵本山《蓝光版》,https://live.ottiptv.cc/yy/32160832
 好先生,https://live.ottiptv.cc/yy/79382500
 知否知否应是绿肥红瘦,https://live.ottiptv.cc/yy/21881901
 倚天屠龙记 超清,https://live.ottiptv.cc/yy/1354755003
 我的兄弟叫顺溜,https://live.ottiptv.cc/yy/1459331991
 绝版鬼片,https://live.ottiptv.cc/yy/1460889796
 少年包青天1~3蓝光版,https://live.ottiptv.cc/yy/38498680
 宰相刘罗锅,https://live.ottiptv.cc/yy/1353892468
 雯子：港剧TVB,https://live.ottiptv.cc/yy/1456829119
 24H地下交通站全,https://live.ottiptv.cc/yy/37880083
 港片电影,https://live.ottiptv.cc/yy/1459801818
 赌神 港片 喜剧,https://live.ottiptv.cc/yy/1355112116
 【战狼4】吴京老师,https://live.ottiptv.cc/yy/1354784284
 鹊刀门,https://live.ottiptv.cc/yy/1355344777
 83射雕英雄传,https://live.ottiptv.cc/yy/1354210357
 丫头动漫 斗罗斗破,https://live.ottiptv.cc/yy/1458722520
 鹿鼎记-高清全集,https://live.ottiptv.cc/yy/1382704650
 疯狂动漫 正在直播,https://live.ottiptv.cc/yy/1353937086
 喨剑电视剧,https://live.ottiptv.cc/yy/1453810838
